ID_Taux,Type_Produit,Taux_Interet
652efc5f-c347-4d25-a82c-04b4a3568df6,public,1.193710471128742
1445720c-13fc-48d4-be59-3c73d8b5ef04,sourire,9.388711910567684
cb9d4066-7827-46ce-8e90-dbbafaa8676a,porte,5.591611397681559
e4790188-19bc-493f-97d7-16a79ef1964b,voisin,4.383497284644383
f1554d3e-2139-4f5e-a642-ce3a661eb7b5,qualité,9.847009921979229
33a40c37-3c61-483c-be3a-9382b4c88e04,rocher,3.336911837488524
63772acf-9867-4e33-80cd-6246ff606583,lettre,9.204342136511926
98e144ea-c75b-43b5-8bc9-00c1ac947ca5,monsieur,8.396935223746409
881f438d-1308-4a70-9fdc-e7fc2723a410,pièce,2.7847155496667906
a451eae6-fd87-4402-9af6-044067d9e808,chasse,8.914934762787288
c029b990-f83b-4d6f-bb02-64fd9dc0cea0,décrire,7.760530872863028
a54839c3-77bd-4170-b156-0704f29d8622,sommet,5.395195092147285
782804c8-1a23-4c8d-8071-6e5e146c8844,calme,3.578658482011278
cee6ce9b-f23e-44db-91d0-6fde2db46623,rire,7.276140335830567
b05f428a-bf3a-4340-ad57-4b9eb34e148f,groupe,7.99547329287547
6c42f99c-0c38-432c-a17a-f0f14a0147ee,fin,7.356048818253874
89a6ac1b-2be1-46d7-a1d0-3ffefa446d01,sac,5.579168133663945
e39e0486-ec23-4175-81f8-72a02777b509,spectacle,7.941019738570544
e8466d6f-ae6e-4e70-a8e6-eb5dabe7573f,forme,8.0201101733585
e12aec28-8a22-41e0-9de1-9a318a2b7cf1,règle,4.465875748270853
8a614306-f532-471c-a8b2-99a863f12be4,lourd,5.364021421504598
6ec7caba-2557-42a4-8795-f257d4587690,trois,5.563000236460625
026304d9-c3c1-4d6b-82d9-10752d2e20d0,obliger,7.046342577469989
e8b52b4a-5cf2-4cfd-b743-d0109475e4d5,peau,7.529264145787343
794c6a05-3bf9-4080-9dfd-4d20c106e82a,double,1.4817272036250109
f7136aca-9ad7-4274-b0ad-108ac423b446,courant,7.751047389574753
e88a084a-cce4-4de9-b064-22d80967d582,animer,3.0516731255379703
9a431351-e51a-44e5-9d1a-905c907b1f28,exiger,2.7667234386091417
157c7537-30de-458c-b1ee-7c0bfc382458,couler,4.415145811800265
1fda2804-e98c-4cc7-b20d-a1ff6db2fde8,fonder,2.3916177990682312
364343af-cae2-4ffe-9f5e-edf6eebcce87,avoir,1.0527471114647249
85b3d681-d0d3-42c6-87fd-054604b3cfa6,jeune,9.240330797841562
3d1e4ecb-1311-4740-8699-155059ef4365,composer,5.891956607903352
2537c6f6-baa4-41bd-8d8e-b796149a241e,avouer,7.093360933052089
67a0d70d-189e-497e-960a-5895c771f5ef,simplement,5.05757472085391
af666977-ba45-4e97-b3fa-5cadfe9a4f21,scène,9.951802785718497
