ID_Compte,ID_Client,Type,Solde,Date_Creation
65f63bd6-48bf-4cd8-804b-d080d1a15ee9,f96b8d23-9b75-4257-b7c2-d256dbaa891d,Compte epargne,7484,2021-10-13
a3d51f06-f521-4c3b-b060-16f8f9fcf729,fd4463f6-315b-4e5b-b8d7-f64fa2aaffe2,Compte cheques,7866,2023-03-13
87a91130-809d-4731-9abb-a23e88e8670f,dddfe9c7-0d2b-418c-9907-bf6a6491ad2a,Compte epargne,9578,2021-10-10
4842091e-c23a-4fdb-8af3-ef04112f7ac1,cb64d8ae-1840-42ed-b795-c6b37db729cc,Compte de depot a vue,5275,2023-11-26
a19a0a41-3e2e-4938-b673-a25e3ac65124,59f26be8-b9a6-453c-8fbe-656b6cc6bf74,Compte cheques,1172,2022-01-01
6812806f-1aac-4242-81ca-e13fa2c2ad7d,4f20b75e-3184-4223-9c45-f50f3469049f,Compte courant,4459,2023-10-22
7a499cd5-d410-4ca2-b6a7-d8e1d5e90221,4ee77dfe-b091-4f95-bbdb-15a43ce2a12e,Compte a terme,6732,2023-09-29
675c291f-e3bc-4230-8262-c18a4c814bdc,37bb042d-3430-4727-beb5-39d58ed4eceb,Compte courant,3086,2023-12-02
0eb096cb-a73d-44a9-99a1-009eb7d712f5,3adeabb8-a35c-4771-89a6-549274f31f9e,Compte epargne,2449,2023-04-20
c8768fab-468e-42db-a320-b18d4073d570,cea926b5-d797-43c7-85e3-6568d7739072,Compte a terme,4396,2022-06-18
9782f25e-5ef5-4077-a403-3c9dd06a5d52,6ceae23e-201b-4799-b891-8810588a6594,Compte epargne,3506,2021-08-04
187c2a9b-5430-48bf-b5f6-ce41839c85ab,1aca4db4-0931-4feb-922b-3898f077e9cd,Compte epargne,6914,2022-07-13
87b085f9-bfe6-4fca-8b16-353dc2d1727c,c99a5c57-5474-4b10-8211-19db9677746a,Compte cheques,18,2022-05-08
c54cf828-fc3f-4131-a8de-37cdd6a6ea0c,64cde1f5-98ac-4382-957d-0b27807cea5b,Compte joint,5228,2022-01-23
86f2c023-197a-4eba-b528-bd4166e84313,37a535db-0197-4331-b707-d13824565066,Compte de depot a vue,3990,2023-01-12
8c2bbb90-65ae-4227-be57-7e974df834b6,43cd820c-31e6-4b46-bf58-cb6b5593f519,Compte joint,6357,2021-01-10
6277b4db-8fd9-4aff-a833-ab81f060e97d,85b7d597-8f4d-414e-8f37-892034f0cd3f,Compte a terme,5860,2021-07-12
4a90a3b4-4547-4117-9fb4-d2f3b964ac4f,4a020f79-088e-41f7-92c0-6c38813151d1,Compte cheques,366,2020-02-16
e2123409-6133-4ba6-9d6c-876ee9d309ed,126e070a-61ac-4a24-bb68-e9c10457c045,Compte joint,4360,2023-07-29
bcde74c2-54c6-43e9-b52c-aa70498c5a31,e499d174-0718-4458-bf7f-baf8eabb63db,Compte courant,52,2022-03-21
de864552-7891-413f-abc0-6e7493cee7e1,8c043108-e6ad-4c9b-9240-46488f33d653,Compte a terme,168,2021-09-02
74821c0a-1824-48ed-b62e-dfe034427f15,44b18cf7-020c-49df-86f4-aa4cfde72725,Compte cheques,9835,2024-02-25
997ad411-4b01-4baa-b456-bb294f14e2a4,b1f4d6d8-1d6c-40f6-83c1-e6b0b4c501d0,Compte de depot a vue,7967,2022-05-14
9a7d00a4-a869-4689-bfdb-9da7f2a30e0f,a91db302-5653-429c-b16f-39afe843120a,Compte epargne,8190,2020-09-20
113f96e5-3bee-4b0c-b4b8-a5c27121452a,21169225-ac78-4e18-a81c-1d8753c4e3f8,Compte courant,8774,2021-09-23
54e21b52-9280-466d-a768-1b95c39dd094,755c96ac-fcd8-48f1-904f-1a59a5aeb95c,Compte a terme,635,2023-02-17
